Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,7,672,gpt-4o-2024-05-13,431,,,,,1.0,,,,,,,,,,
decoder_3_to_8_wadden_buggy2.v,7,1326,gpt-4o-2024-05-13,557,,,,,1.0,,,,,,,,,,
first_counter_overflow_wadden_buggy1.v,7,1958,gpt-4o-2024-05-13,398,,,,,1.0,,,,,,,,,,
first_counter_overflow_wadden_buggy2.v,7,2592,gpt-4o-2024-05-13,392,,,,,1.0,,,,,,,,,,
first_counter_overflow_kgoliya_buggy1.v,7,3332,gpt-4o-2024-05-13,413,376.0,,,,0.7655172413793103,1.0,,,,,,,,,
tff_wadden_buggy1.v,7,3685,gpt-4o-2024-05-13,120,,,,,1.0,,,,,,,,,,
tff_wadden_buggy2.v,7,4040,gpt-4o-2024-05-13,114,,,,,1.0,,,,,,,,,,
fsm_full_wadden_buggy1.v,7,5361,gpt-4o-2024-05-13,1079,,,,,1.0,,,,,,,,,,
fsm_full_wadden_buggy2.v,7,6645,gpt-4o-2024-05-13,1072,,,,,1.0,,,,,,,,,,
fsm_full_ssscrazy_buggy1.v,7,7943,gpt-4o-2024-05-13,1061,,,,,1.0,,,,,,,,,,
fsm_full_ssscrazy_buggy2.v,7,9324,gpt-4o-2024-05-13,1073,,,,,1.0,,,,,,,,,,
lshift_reg_wadden_buggy1.v,7,9860,gpt-4o-2024-05-13,469,,,,,1.0,,,,,,,,,,
lshift_reg_wadden_buggy2.v,7,10396,gpt-4o-2024-05-13,297,,,,,1.0,,,,,,,,,,
lshift_reg_kgoliya_buggy1.v,7,10934,gpt-4o-2024-05-13,293,,,,,1.0,,,,,,,,,,
mux_4_1_wadden_buggy1.v,7,11446,gpt-4o-2024-05-13,347,,,,,1.0,,,,,,,,,,
mux_4_1_wadden_buggy2.v,7,11958,gpt-4o-2024-05-13,308,,,,,1.0,,,,,,,,,,
mux_4_1_kgoliya_buggy1.v,7,12465,gpt-4o-2024-05-13,268,,,,,1.0,,,,,,,,,,
i2c_slave_model_wadden_buggy1.v,7,15654,gpt-4o-2024-05-13,2941,,,,,1.0,,,,,,,,,,
i2c_slave_model_wadden_buggy2.v,7,18850,gpt-4o-2024-05-13,2937,,,,,1.0,,,,,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,7,16006,gpt-4o-2024-05-13,5690,,,,,1.0,,,,,,,,,,
keccak_wadden_buggy1.v,7,15159,gpt-4o-2024-05-13,978,966.0,951.0,969.0,961.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,7,24345,gpt-4o-2024-05-13,949,965.0,958.0,957.0,942.0,0.9998931030059436,0.0,0.9998931030059436,0.9998931030059436,0.9999144824047548,,,,,,
padder_ssscrazy_buggy1.v,7,30669,gpt-4o-2024-05-13,892,893.0,925.0,931.0,912.0,0.9167437069124912,0.9167437069124912,0.9167437069124912,0.0,0.2144691871696351,,,,,,
round_ssscrazy_buggy1.v,7,41366,gpt-4o-2024-05-13,2132,2124.0,2121.0,2131.0,2125.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_wadden_buggy1.v,7,45234,gpt-4o-2024-05-13,1728,1678.0,1678.0,1717.0,1680.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_kgoliya_buggy1.v,7,47151,gpt-4o-2024-05-13,1689,,,,,1.0,,,,,,,,,,
tate_pairing_wadden_buggy2.v,7,49068,gpt-4o-2024-05-13,1714,,,,,1.0,,,,,,,,,,
BM_lamda_ssscrazy_buggy1.v,7,52252,gpt-4o-2024-05-13,2966,,,,,1.0,,,,,,,,,,
out_stage_ssscrazy_buggy1.v,7,53208,gpt-4o-2024-05-13,720,,,,,1.0,,,,,,,,,,
sdram_controller_wadden_buggy1.v,7,56438,gpt-4o-2024-05-13,2840,,,,,1.0,,,,,,,,,,
sdram_controller_wadden_buggy2.v,7,59658,gpt-4o-2024-05-13,2984,,,,,1.0,,,,,,,,,,
sdram_controller_kgoliya_buggy2.v,7,62880,gpt-4o-2024-05-13,2990,,,,,1.0,,,,,,,,,,
