Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,0,2160,gpt-4o-2024-05-13,393,424.0,393.0,396.0,393.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,0,2142,gpt-4o-2024-05-13,355,378.0,397.0,379.0,378.0,1.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,0,2119,gpt-4o-2024-05-13,343,311.0,362.0,371.0,336.0,0.6275862068965518,0.7931034482758621,0.8620689655172413,0.9310344827586208,1.0,,,,,,
first_counter_overflow_wadden_buggy2.v,0,2121,gpt-4o-2024-05-13,339,365.0,355.0,340.0,361.0,0.7655172413793103,0.9310344827586208,0.7655172413793103,0.7655172413793103,0.7655172413793103,,,,,,
first_counter_overflow_kgoliya_buggy1.v,0,2121,gpt-4o-2024-05-13,348,372.0,358.0,364.0,370.0,0.7655172413793103,0.9310344827586208,1.0,1.0,0.9310344827586208,,,,,,
tff_wadden_buggy1.v,0,1840,gpt-4o-2024-05-13,77,68.0,68.0,69.0,77.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
tff_wadden_buggy2.v,0,1842,gpt-4o-2024-05-13,81,78.0,70.0,80.0,71.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
fsm_full_wadden_buggy1.v,0,2808,gpt-4o-2024-05-13,1048,1039.0,1244.0,1044.0,1048.0,1.0,1.0,0.9,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,0,2771,gpt-4o-2024-05-13,1006,999.0,988.0,1016.0,1009.0,0.902439024390244,0.902439024390244,0.902439024390244,0.902439024390244,0.8048780487804879,,,,,,
fsm_full_ssscrazy_buggy1.v,0,2785,gpt-4o-2024-05-13,1026,1032.0,998.0,1034.0,938.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_ssscrazy_buggy2.v,0,2868,gpt-4o-2024-05-13,1044,1044.0,1093.0,1030.0,871.0,1.0,1.0,0.9,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,0,2023,gpt-4o-2024-05-13,235,261.0,222.0,247.0,229.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.896551724137931,0.8620689655172413,,,,,,
lshift_reg_wadden_buggy2.v,0,2023,gpt-4o-2024-05-13,221,261.0,237.0,266.0,265.0,0.8620689655172413,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.6982758620689655,,,,,,
lshift_reg_kgoliya_buggy1.v,0,2026,gpt-4o-2024-05-13,263,228.0,259.0,230.0,231.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,1.0,0.8620689655172413,,,,,,
mux_4_1_wadden_buggy1.v,0,1998,gpt-4o-2024-05-13,230,255.0,215.0,232.0,237.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,0,1998,gpt-4o-2024-05-13,238,248.0,238.0,145.0,243.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,0,1993,gpt-4o-2024-05-13,220,236.0,241.0,247.0,232.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,0,4676,gpt-4o-2024-05-13,2915,2907.0,2319.0,2921.0,2192.0,1.0,1.0,0.8383484759562883,1.0,0.8383484759562883,,,,,,
i2c_slave_model_wadden_buggy2.v,0,4683,gpt-4o-2024-05-13,1839,2915.0,2935.0,2922.0,2921.0,0.800923772684788,1.0,0.8383484759562883,1.0,1.0,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,0,18980,gpt-4o-2024-05-13,5637,5653.0,5637.0,5635.0,5641.0,0.0,1.0,0.0,1.0,1.0,,,,,,
keccak_wadden_buggy1.v,0,2682,gpt-4o-2024-05-13,931,931.0,931.0,935.0,931.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,0,2661,gpt-4o-2024-05-13,908,906.0,906.0,906.0,905.0,0.0,0.0,0.0,0.0,0.0,,,,,,
padder_ssscrazy_buggy1.v,0,2629,gpt-4o-2024-05-13,881,882.0,449.0,854.0,882.0,0.8718138355476901,0.8718138355476901,0.8718138355476901,0.8718138355476901,0.8718138355476901,,,,,,
round_ssscrazy_buggy1.v,0,3848,gpt-4o-2024-05-13,2088,2086.0,2085.0,2085.0,2033.0,0.0,0.0,0.0,0.0,0.0,,,,,,
