Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,0,2004,gpt-4o-2024-05-13,393,396.0,396.0,396.0,396.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,0,1986,gpt-4o-2024-05-13,378,378.0,378.0,378.0,378.0,1.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,0,1964,gpt-4o-2024-05-13,377,356.0,374.0,364.0,364.0,0.8758620689655172,1.0,0.7931034482758621,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy2.v,0,1966,gpt-4o-2024-05-13,340,371.0,339.0,357.0,340.0,0.7655172413793103,0.9310344827586208,0.7655172413793103,0.7655172413793103,0.7655172413793103,,,,,,
first_counter_overflow_kgoliya_buggy1.v,0,1966,gpt-4o-2024-05-13,360,374.0,336.0,353.0,364.0,0.7931034482758621,0.8758620689655172,1.0,0.9310344827586208,1.0,,,,,,
tff_wadden_buggy1.v,0,1685,gpt-4o-2024-05-13,82,82.0,72.0,74.0,82.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
tff_wadden_buggy2.v,0,1687,gpt-4o-2024-05-13,84,71.0,84.0,84.0,83.0,0.8823529411764706,0.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
fsm_full_wadden_buggy1.v,0,2653,gpt-4o-2024-05-13,1044,1040.0,1048.0,1048.0,1050.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,0,2616,gpt-4o-2024-05-13,1016,1016.0,1016.0,1016.0,912.0,0.902439024390244,0.902439024390244,0.902439024390244,0.902439024390244,0.902439024390244,,,,,,
fsm_full_ssscrazy_buggy1.v,0,2630,gpt-4o-2024-05-13,1037,1032.0,1032.0,1076.0,1041.0,1.0,1.0,1.0,0.9,1.0,,,,,,
fsm_full_ssscrazy_buggy2.v,0,2713,gpt-4o-2024-05-13,1011,1040.0,1040.0,1040.0,1040.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,0,1868,gpt-4o-2024-05-13,261,259.0,184.0,236.0,260.0,1.0,0.896551724137931,1.0,0.8620689655172413,1.0,,,,,,
lshift_reg_wadden_buggy2.v,0,1868,gpt-4o-2024-05-13,264,267.0,265.0,234.0,264.0,0.8620689655172413,0.7586206896551724,0.8620689655172413,0.8620689655172413,0.8620689655172413,,,,,,
lshift_reg_kgoliya_buggy1.v,0,1870,gpt-4o-2024-05-13,156,234.0,264.0,234.0,262.0,0.8620689655172413,0.8620689655172413,0.7586206896551724,0.8620689655172413,0.5086206896551724,,,,,,
mux_4_1_wadden_buggy1.v,0,1844,gpt-4o-2024-05-13,236,236.0,197.0,236.0,236.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,0,1844,gpt-4o-2024-05-13,187,239.0,256.0,247.0,208.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,0,1839,gpt-4o-2024-05-13,247,236.0,236.0,236.0,247.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,0,4521,gpt-4o-2024-05-13,2948,2367.0,2363.0,2917.0,2915.0,0.8383484759562883,0.8383484759562883,0.8383484759562883,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy2.v,0,4528,gpt-4o-2024-05-13,2208,2920.0,2925.0,2925.0,2925.0,1.0,0.8383484759562883,1.0,1.0,1.0,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,0,18670,gpt-4o-2024-05-13,5641,69.0,5635.0,5646.0,5661.0,0.0,0.0,1.0,1.0,1.0,,,,,,
keccak_wadden_buggy1.v,0,2527,gpt-4o-2024-05-13,936,931.0,943.0,945.0,941.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,0,2506,gpt-4o-2024-05-13,898,901.0,898.0,906.0,901.0,0.0,0.0,0.0,0.0,0.0,,,,,,
