Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,1,498,gpt-4o-2024-05-13,396,396.0,396.0,396.0,396.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,1,478,gpt-4o-2024-05-13,378,378.0,378.0,378.0,378.0,1.0,1.0,1.0,0.75,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,1,459,gpt-4o-2024-05-13,361,357.0,357.0,357.0,361.0,0.8620689655172413,1.0,1.0,1.0,0.8620689655172413,,,,,,
first_counter_overflow_wadden_buggy2.v,1,461,gpt-4o-2024-05-13,336,339.0,357.0,346.0,356.0,1.0,0.7655172413793103,1.0,0.7655172413793103,1.0,,,,,,
first_counter_overflow_kgoliya_buggy1.v,1,459,gpt-4o-2024-05-13,357,357.0,357.0,357.0,357.0,1.0,1.0,1.0,1.0,1.0,,,,,,
tff_wadden_buggy1.v,1,179,gpt-4o-2024-05-13,75,77.0,77.0,75.0,77.0,1.0,1.0,1.0,1.0,1.0,,,,,,
tff_wadden_buggy2.v,1,185,gpt-4o-2024-05-13,79,79.0,77.0,79.0,79.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy1.v,1,1148,gpt-4o-2024-05-13,1040,1082.0,1038.0,1038.0,1040.0,1.0,0.9,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,1,1118,gpt-4o-2024-05-13,1231,1233.0,1081.0,1234.0,1075.0,0.9,0.9,0.9,0.9,0.9,,,,,,
fsm_full_ssscrazy_buggy1.v,1,1131,gpt-4o-2024-05-13,1022,1024.0,1026.0,1022.0,1022.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_ssscrazy_buggy2.v,1,1209,gpt-4o-2024-05-13,1040,980.0,1040.0,1040.0,1040.0,1.0,0.95,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,1,364,gpt-4o-2024-05-13,260,260.0,258.0,258.0,260.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy2.v,1,362,gpt-4o-2024-05-13,258,258.0,260.0,258.0,260.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_kgoliya_buggy1.v,1,364,gpt-4o-2024-05-13,263,265.0,263.0,263.0,265.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,,,,,,
mux_4_1_wadden_buggy1.v,1,339,gpt-4o-2024-05-13,234,234.0,236.0,195.0,236.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,1,339,gpt-4o-2024-05-13,236,236.0,197.0,236.0,234.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,1,339,gpt-4o-2024-05-13,236,236.0,236.0,234.0,234.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,1,3015,gpt-4o-2024-05-13,2921,2940.0,2222.0,2196.0,3053.0,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8054399455315391,,,,,,
i2c_slave_model_wadden_buggy2.v,1,3021,gpt-4o-2024-05-13,2897,2897.0,2925.0,2925.0,2897.0,1.0,1.0,1.0,0.0,0.0,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,1,15656,gpt-4o-2024-05-13,5641,5663.0,5642.0,5640.0,5640.0,1.0,1.0,1.0,1.0,1.0,,,,,,
keccak_wadden_buggy1.v,1,1024,gpt-4o-2024-05-13,919,919.0,919.0,919.0,919.0,0.0,1.0,1.0,1.0,1.0,,,,,,
keccak_wadden_buggy2.v,1,1001,gpt-4o-2024-05-13,898,898.0,898.0,898.0,896.0,0.0,0.0,0.0,0.0,0.0,,,,,,
padder_ssscrazy_buggy1.v,1,971,gpt-4o-2024-05-13,869,870.0,870.0,870.0,870.0,1.0,1.0,1.0,1.0,1.0,,,,,,
round_ssscrazy_buggy1.v,1,2190,gpt-4o-2024-05-13,2085,2085.0,2086.0,2085.0,2083.0,1.0,1.0,1.0,1.0,0.0,,,,,,
tate_pairing_wadden_buggy1.v,1,1746,gpt-4o-2024-05-13,1656,1669.0,1640.0,1640.0,1641.0,0.0,0.0,0.0,1.0,0.0,,,,,,
tate_pairing_kgoliya_buggy1.v,1,1747,gpt-4o-2024-05-13,1641,1641.0,1642.0,1641.0,1641.0,1.0,1.0,1.0,1.0,1.0,,,,,,
