Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,0,561,gpt-4o,396,396.0,396.0,396.0,396.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,0,543,gpt-4o,378,375.0,378.0,358.0,379.0,1.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,0,520,gpt-4o,382,357.0,357.0,357.0,357.0,0.9310344827586208,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy2.v,0,522,gpt-4o,363,282.0,373.0,359.0,350.0,0.9310344827586208,0.7655172413793103,0.9310344827586208,0.9310344827586208,0.9310344827586208,,,,,,
first_counter_overflow_kgoliya_buggy1.v,0,522,gpt-4o,350,351.0,364.0,357.0,366.0,0.9310344827586208,0.9310344827586208,1.0,1.0,0.9310344827586208,,,,,,
tff_wadden_buggy1.v,0,241,gpt-4o,79,77.0,76.0,80.0,80.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
tff_wadden_buggy2.v,0,243,gpt-4o,76,71.0,71.0,71.0,69.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
fsm_full_wadden_buggy1.v,0,1209,gpt-4o,1040,963.0,999.0,949.0,974.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,0,1172,gpt-4o,954,1016.0,956.0,1014.0,928.0,0.7142857142857143,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,,,,,,
fsm_full_ssscrazy_buggy1.v,0,1186,gpt-4o,991,1027.0,922.0,962.0,977.0,0.8,1.0,0.7142857142857143,1.0,1.0,,,,,,
fsm_full_ssscrazy_buggy2.v,0,1269,gpt-4o,1040,984.0,1015.0,1044.0,1034.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,0,424,gpt-4o,226,232.0,228.0,226.0,221.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy2.v,0,424,gpt-4o,222,227.0,224.0,225.0,256.0,1.0,1.0,1.0,0.8620689655172413,1.0,,,,,,
lshift_reg_kgoliya_buggy1.v,0,427,gpt-4o,240,229.0,225.0,207.0,225.0,1.0,1.0,1.0,0.8620689655172413,0.8620689655172413,,,,,,
mux_4_1_wadden_buggy1.v,0,399,gpt-4o,198,231.0,232.0,236.0,236.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,0,399,gpt-4o,248,247.0,201.0,237.0,236.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,0,394,gpt-4o,236,201.0,236.0,236.0,231.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,0,3077,gpt-4o,2919,2911.0,2890.0,2687.0,2915.0,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8383484759562883,,,,,,
i2c_slave_model_wadden_buggy2.v,0,3084,gpt-4o,2925,2933.0,2491.0,2926.0,2171.0,1.0,0.9480318923697524,1.0,0.9161460229256588,1.0,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,0,15782,gpt-4o,5641,5643.0,3874.0,5653.0,5641.0,1.0,1.0,1.0,1.0,1.0,,,,,,
keccak_wadden_buggy1.v,0,1083,gpt-4o,929,932.0,644.0,919.0,932.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,0,1062,gpt-4o,911,911.0,898.0,899.0,911.0,0.0,0.0,0.0,0.2754735536836704,0.0,,,,,,
padder_ssscrazy_buggy1.v,0,1030,gpt-4o,827,806.0,823.0,869.0,829.0,0.5495126654164135,0.9167437069124912,0.9461158509205208,0.9167437069124912,0.9167437069124912,,,,,,
round_ssscrazy_buggy1.v,0,2249,gpt-4o,2086,2085.0,2084.0,2085.0,2083.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_wadden_buggy1.v,0,1806,gpt-4o,1644,1621.0,1641.0,1187.0,1190.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_kgoliya_buggy1.v,0,1812,gpt-4o,1632,1643.0,1193.0,1622.0,1648.0,0.2068669527896995,0.2068669527896995,0.2068669527896995,1.0,0.0,,,,,,
tate_pairing_wadden_buggy2.v,0,1806,gpt-4o,1641,1423.0,1660.0,1630.0,1641.0,0.3304721030042918,1.0,0.0,0.0,0.0,,,,,,
BM_lamda_ssscrazy_buggy1.v,0,3073,gpt-4o,2814,2745.0,2733.0,2394.0,2402.0,0.1850793517052943,0.4767432763424747,1.0,0.1827165546253889,0.1850793517052943,,,,,,
out_stage_ssscrazy_buggy1.v,0,844,gpt-4o,523,684.0,505.0,683.0,431.0,1.0,1.0,1.0,1.0,0.9547433482387352,,,,,,
sdram_controller_wadden_buggy1.v,0,3118,gpt-4o,2954,2703.0,2575.0,2944.0,2944.0,0.8179442875805976,1.0,1.0,1.0,1.0,,,,,,
sdram_controller_wadden_buggy2.v,0,3108,gpt-4o,2944,2945.0,2657.0,2926.0,2954.0,1.0,1.0,1.0,1.0,1.0,,,,,,
sdram_controller_kgoliya_buggy2.v,0,3110,gpt-4o,2920,2227.0,2666.0,2276.0,2685.0,0.7288255285342279,0.7288255285342279,0.7288255285342279,0.0,0.7288255285342279,,,,,,
decoder_3_to_8_wadden_buggy1.v,2,647,gpt-4o,396,396.0,396.0,315.0,315.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,2,625,gpt-4o,358,355.0,297.0,356.0,348.0,1.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,2,600,gpt-4o,380,404.0,348.0,377.0,363.0,0.8758620689655172,0.9310344827586208,0.7655172413793103,0.9310344827586208,0.7655172413793103,,,,,,
first_counter_overflow_wadden_buggy2.v,2,598,gpt-4o,376,358.0,371.0,389.0,386.0,0.9310344827586208,1.0,0.9310344827586208,0.8758620689655172,0.9310344827586208,,,,,,
first_counter_overflow_kgoliya_buggy1.v,2,602,gpt-4o,392,369.0,354.0,327.0,329.0,0.8758620689655172,0.9310344827586208,1.0,0.9310344827586208,0.9310344827586208,,,,,,
tff_wadden_buggy1.v,2,310,gpt-4o,70,76.0,72.0,69.0,76.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
tff_wadden_buggy2.v,2,312,gpt-4o,73,72.0,78.0,80.0,72.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
fsm_full_wadden_buggy1.v,2,1335,gpt-4o,1091,1038.0,1038.0,951.0,1046.0,0.9,1.0,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,2,1316,gpt-4o,977,993.0,1170.0,1157.0,953.0,0.8095238095238095,0.8048780487804879,0.902439024390244,0.8048780487804879,0.7142857142857143,,,,,,
fsm_full_ssscrazy_buggy1.v,2,1312,gpt-4o,1122,1034.0,946.0,982.0,1228.0,1.0,1.0,0.8,1.0,0.8,,,,,,
fsm_full_ssscrazy_buggy2.v,2,1413,gpt-4o,953,1040.0,1014.0,1044.0,1040.0,0.8,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,2,508,gpt-4o,261,227.0,261.0,229.0,264.0,1.0,1.0,1.0,1.0,0.896551724137931,,,,,,
lshift_reg_wadden_buggy2.v,2,508,gpt-4o,232,228.0,228.0,252.0,230.0,0.8620689655172413,0.8620689655172413,1.0,0.8362068965517241,1.0,,,,,,
lshift_reg_kgoliya_buggy1.v,2,511,gpt-4o,261,228.0,203.0,268.0,237.0,0.896551724137931,1.0,0.8620689655172413,0.7586206896551724,0.8620689655172413,,,,,,
mux_4_1_wadden_buggy1.v,2,483,gpt-4o,236,236.0,237.0,142.0,232.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,2,483,gpt-4o,249,237.0,238.0,240.0,237.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,2,478,gpt-4o,236,196.0,235.0,232.0,237.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,2,3148,gpt-4o,2913,2949.0,2913.0,2914.0,2914.0,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8383484759562883,0.8383484759562883,,,,,,
i2c_slave_model_wadden_buggy2.v,2,3155,gpt-4o,2926,2925.0,2925.0,2920.0,2180.0,0.8383484759562883,1.0,1.0,0.8383484759562883,0.8383484759562883,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,2,15974,gpt-4o,4280,5654.0,5664.0,5631.0,5676.0,0.0,1.0,1.0,1.0,0.9788986156257764,,,,,,
keccak_wadden_buggy1.v,2,1183,gpt-4o,785,942.0,934.0,945.0,923.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,2,1162,gpt-4o,913,899.0,906.0,761.0,911.0,0.0,0.1395540257407961,0.0,0.1395540257407961,0.0,,,,,,
padder_ssscrazy_buggy1.v,2,1133,gpt-4o,829,637.0,831.0,642.0,870.0,0.9167437069124912,0.9167437069124912,0.9167437069124912,0.9167437069124912,0.0,,,,,,
round_ssscrazy_buggy1.v,2,2332,gpt-4o,2085,2085.0,2085.0,2033.0,2033.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_wadden_buggy1.v,2,1901,gpt-4o,1611,1614.0,1615.0,1615.0,1616.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_kgoliya_buggy1.v,2,1904,gpt-4o,1627,1636.0,1620.0,1624.0,1620.0,0.0,0.0,0.0,0.0,0.0,,,,,,
