Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,13,1715,gpt-4,579,387.0,403.0,,,0.0,1.0,0.0,,,,,,,,
decoder_3_to_8_wadden_buggy2.v,13,1519,gpt-4,541,378.0,426.0,,,0.0,0.0,0.0,,,,,,,,
first_counter_overflow_wadden_buggy1.v,13,1807,gpt-4,356,371.0,347.0,,,0.7655172413793103,0.0,1.0,,,,,,,,
first_counter_overflow_wadden_buggy2.v,13,1080,gpt-4,336,355.0,349.0,,,0.7655172413793103,1.0,0.7655172413793103,,,,,,,,
first_counter_overflow_kgoliya_buggy1.v,13,2307,gpt-4,343,339.0,365.0,,,0.7655172413793103,1.0,0.5172413793103449,,,,,,,,
tff_wadden_buggy1.v,13,744,gpt-4,76,67.0,72.0,,,0.8823529411764706,0.8823529411764706,1.0,,,,,,,,
tff_wadden_buggy2.v,13,746,gpt-4,67,70.0,66.0,,,0.8823529411764706,0.8823529411764706,1.0,,,,,,,,
fsm_full_wadden_buggy1.v,13,2170,gpt-4,858,858.0,1040.0,,,1.0,1.0,1.0,,,,,,,,
fsm_full_wadden_buggy2.v,13,2307,gpt-4,1107,1105.0,792.0,,,0.7142857142857143,0.7142857142857143,0.7142857142857143,,,,,,,,
fsm_full_ssscrazy_buggy1.v,13,2152,gpt-4,827,1154.0,837.0,,,0.7142857142857143,1.0,0.7142857142857143,,,,,,,,
fsm_full_ssscrazy_buggy2.v,13,2645,gpt-4,1031,843.0,838.0,,,1.0,1.0,1.0,,,,,,,,
lshift_reg_wadden_buggy1.v,13,3266,gpt-4,255,135.0,144.0,,,0.896551724137931,1.0,0.896551724137931,,,,,,,,
lshift_reg_wadden_buggy2.v,13,1732,gpt-4,139,221.0,219.0,,,0.896551724137931,0.896551724137931,0.896551724137931,,,,,,,,
lshift_reg_kgoliya_buggy1.v,13,1772,gpt-4,150,149.0,155.0,,,1.0,0.0214285714285714,0.8620689655172413,,,,,,,,
mux_4_1_wadden_buggy1.v,13,2456,gpt-4,231,204.0,231.0,,,1.0,0.0,1.0,,,,,,,,
mux_4_1_wadden_buggy2.v,13,2456,gpt-4,221,221.0,221.0,,,0.2666666666666666,0.2666666666666666,0.2666666666666666,,,,,,,,
mux_4_1_kgoliya_buggy1.v,13,2121,gpt-4,231,231.0,231.0,,,1.0,1.0,1.0,,,,,,,,
i2c_slave_model_wadden_buggy1.v,13,4071,gpt-4,513,240.0,1158.0,,,0.0,0.0,0.8383484759562883,,,,,,,,
i2c_slave_model_wadden_buggy2.v,13,4076,gpt-4,248,1893.0,261.0,,,0.0,0.8383484759562883,0.0,,,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,13,8034,gpt-4,128,128.0,128.0,,,0.0,0.0,0.0,,,,,,,,
keccak_wadden_buggy1.v,13,4955,gpt-4,920,816.0,611.0,,,0.0,0.0,0.0,,,,,,,,
keccak_wadden_buggy2.v,13,4904,gpt-4,622,557.0,827.0,,,0.0,0.0,0.0,,,,,,,,
padder_ssscrazy_buggy1.v,13,3513,gpt-4,836,769.0,638.0,,,0.0,0.0,0.0,,,,,,,,
round_ssscrazy_buggy1.v,13,6295,gpt-4,1657,1662.0,1867.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_wadden_buggy1.v,13,2678,gpt-4,1498,1646.0,1310.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_kgoliya_buggy1.v,13,2678,gpt-4,268,1071.0,1265.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_wadden_buggy2.v,13,2667,gpt-4,1220,804.0,1643.0,,,0.0,0.0,0.0,,,,,,,,
BM_lamda_ssscrazy_buggy1.v,13,5828,gpt-4,738,304.0,417.0,,,0.0,0.0,0.0,,,,,,,,
out_stage_ssscrazy_buggy1.v,13,1674,gpt-4,486,498.0,511.0,,,0.0,0.1763764903565782,0.0,,,,,,,,
sdram_controller_wadden_buggy1.v,13,7799,gpt-4,221,363.0,259.0,,,0.0,0.0,0.0,,,,,,,,
