Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,0,481,gpt-4o,396,395.0,396.0,396.0,395.0,1.0,1.0,1.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,0,463,gpt-4o,378,378.0,378.0,377.0,378.0,1.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,0,441,gpt-4o,357,358.0,364.0,360.0,350.0,1.0,1.0,1.0,1.0,0.9310344827586208,,,,,,
first_counter_overflow_wadden_buggy2.v,0,443,gpt-4o,371,354.0,361.0,345.0,348.0,0.9310344827586208,0.9448275862068966,0.9310344827586208,1.0,0.7655172413793103,,,,,,
first_counter_overflow_kgoliya_buggy1.v,0,443,gpt-4o,365,375.0,356.0,357.0,304.0,0.9310344827586208,0.9310344827586208,1.0,1.0,0.9310344827586208,,,,,,
tff_wadden_buggy1.v,0,162,gpt-4o,82,80.0,82.0,74.0,82.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
tff_wadden_buggy2.v,0,164,gpt-4o,76,84.0,84.0,73.0,84.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,
fsm_full_wadden_buggy1.v,0,1130,gpt-4o,1042,1046.0,1044.0,1040.0,1044.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_wadden_buggy2.v,0,1093,gpt-4o,1016,1012.0,1014.0,1014.0,1002.0,0.902439024390244,0.8095238095238095,0.902439024390244,0.902439024390244,0.8095238095238095,,,,,,
fsm_full_ssscrazy_buggy1.v,0,1107,gpt-4o,1028,1028.0,1028.0,1017.0,999.0,1.0,1.0,1.0,1.0,1.0,,,,,,
fsm_full_ssscrazy_buggy2.v,0,1190,gpt-4o,1040,1040.0,1040.0,1044.0,1040.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy1.v,0,345,gpt-4o,224,230.0,260.0,260.0,146.0,1.0,1.0,1.0,1.0,1.0,,,,,,
lshift_reg_wadden_buggy2.v,0,345,gpt-4o,229,234.0,260.0,260.0,234.0,0.8620689655172413,0.8620689655172413,1.0,1.0,0.8620689655172413,,,,,,
lshift_reg_kgoliya_buggy1.v,0,347,gpt-4o,260,229.0,258.0,230.0,260.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy1.v,0,321,gpt-4o,236,236.0,236.0,236.0,234.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_wadden_buggy2.v,0,321,gpt-4o,197,230.0,247.0,236.0,236.0,1.0,1.0,1.0,1.0,1.0,,,,,,
mux_4_1_kgoliya_buggy1.v,0,316,gpt-4o,236,236.0,234.0,195.0,234.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy1.v,0,2998,gpt-4o,2915,2915.0,2198.0,2909.0,2913.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_slave_model_wadden_buggy2.v,0,3005,gpt-4o,2925,2893.0,2500.0,2925.0,2923.0,1.0,1.0,1.0,1.0,1.0,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,0,15624,gpt-4o,5635,5635.0,5642.0,5637.0,5627.0,1.0,1.0,1.0,0.0,0.0,,,,,,
keccak_wadden_buggy1.v,0,1004,gpt-4o,947,972.0,922.0,1007.0,932.0,0.0,0.0,0.0,0.0,0.0,,,,,,
keccak_wadden_buggy2.v,0,983,gpt-4o,897,897.0,911.0,898.0,898.0,0.0,0.0,0.0,0.0,0.0,,,,,,
padder_ssscrazy_buggy1.v,0,951,gpt-4o,869,869.0,865.0,828.0,866.0,0.9167437069124912,0.9167437069124912,0.9167437069124912,0.0,0.9167437069124912,,,,,,
round_ssscrazy_buggy1.v,0,2170,gpt-4o,2086,2085.0,2086.0,2082.0,2085.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tate_pairing_wadden_buggy1.v,0,1726,gpt-4o,1642,1645.0,1642.0,1642.0,1642.0,0.0,0.0,0.2068669527896995,0.0,0.0,,,,,,
tate_pairing_kgoliya_buggy1.v,0,1733,gpt-4o,1649,1648.0,1648.0,1650.0,1648.0,0.2068669527896995,1.0,0.2068669527896995,0.2068669527896995,0.2068669527896995,,,,,,
tate_pairing_wadden_buggy2.v,0,1726,gpt-4o,1642,1629.0,1642.0,1645.0,1641.0,0.3304721030042918,0.0,0.0,0.0,0.0,,,,,,
BM_lamda_ssscrazy_buggy1.v,0,2994,gpt-4o,3116,2910.0,2911.0,2909.0,2909.0,1.0,0.1850793517052943,0.1812312303275778,0.1850793517052943,0.1856872032210112,,,,,,
